Region_ID,Latitude,Longitude,Density_Contrast,Area_Pixels,Is_Undiscovered,Dist_to_Known_km
339,35.5615,-115.5251256281407,0.7045355,1,True,4.586313183501146
474,35.5515,-115.4105527638191,0.7029523,2,True,14.406243098187739
599,35.539500000000004,-115.43266331658292,0.7021645,1,True,13.817060402888139
118,35.5815,-115.48994974874373,0.7018196,2,True,6.832613674415
478,35.5515,-115.4718592964824,0.70133466,1,True,10.60155871260715
5,35.5995,-115.48391959798995,0.7008843,1,True,5.164603345060394
766,35.5035,-115.53718592964825,0.7005634,1,True,8.025336745311582
273,35.5665,-115.45577889447236,0.69821894,1,True,9.897199206017298
1012,35.4375,-115.44773869346734,0.6979095,2,True,19.681182806793277
879,35.4715,-115.4105527638191,0.6970929,1,True,20.38580600713389
805,35.4935,-115.55326633165829,0.6957112,2,True,8.600447530788948
274,35.5665,-115.45276381909548,0.6956341,1,True,10.082752399075499
890,35.466499999999996,-115.44673366834171,0.6954821,2,True,17.491552823063934
1029,35.4345,-115.49899497487438,0.69512755,1,True,16.75738018947673
881,35.4705,-115.52613065326634,0.6950927,1,True,11.880072012085565
815,35.4895,-115.56532663316582,0.69496155,1,True,8.93553754693238
746,35.5085,-115.5462311557789,0.6943572,1,True,7.155716584058088
1250,35.4095,-115.43065326633166,0.69391024,1,True,23.272990914749766
822,35.4885,-115.4105527638191,0.6935962,1,True,19.439105600836925
1100,35.4275,-115.50904522613065,0.6934903,1,True,17.01603921154008
901,35.4645,-115.54020100502512,0.6934775,1,True,12.044051726998667
502,35.5495,-115.4105527638191,0.6926609,1,True,14.560881256437451
1206,35.4135,-115.55326633165829,0.69253033,1,True,17.425014712471633
856,35.4765,-115.53015075376884,0.6924235,1,True,11.09781570393927
509,35.548500000000004,-115.47788944723618,0.6920308,1,True,10.0197873481331
871,35.4735,-115.42060301507539,0.6919668,1,True,19.329552072197885
1241,35.4105,-115.49497487437186,0.6918512,2,True,19.360675226252653
232,35.5695,-115.5281407035176,0.6910152,1,True,4.153912690990181
